"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","state","zip"
"0693436","ZCTA5 93436","B01001_001",56323,731,56323,731,"06","93436"
"0693437","ZCTA5 93437","B01001_001",3387,373,3387,373,"06","93437"
"0693440","ZCTA5 93440","B01001_001",1659,718,1659,718,"06","93440"
"0693441","ZCTA5 93441","B01001_001",922,196,922,196,"06","93441"
"0693442","ZCTA5 93442","B01001_001",10917,126,10917,126,"06","93442"
"0693444","ZCTA5 93444","B01001_001",21331,1215,21331,1215,"06","93444"
"0693445","ZCTA5 93445","B01001_001",7106,643,7106,643,"06","93445"
"0693446","ZCTA5 93446","B01001_001",44636,984,44636,984,"06","93446"
"0693449","ZCTA5 93449","B01001_001",8180,19,8180,19,"06","93449"
"0693450","ZCTA5 93450","B01001_001",767,260,767,260,"06","93450"
"0693451","ZCTA5 93451","B01001_001",4477,679,4477,679,"06","93451"
"0693452","ZCTA5 93452","B01001_001",658,297,658,297,"06","93452"
"0693453","ZCTA5 93453","B01001_001",2578,549,2578,549,"06","93453"
"0693454","ZCTA5 93454","B01001_001",40432,1301,40432,1301,"06","93454"
"0693455","ZCTA5 93455","B01001_001",46175,1234,46175,1234,"06","93455"
"0693458","ZCTA5 93458","B01001_001",57256,1308,57256,1308,"06","93458"
"0693460","ZCTA5 93460","B01001_001",5284,637,5284,637,"06","93460"
"0693461","ZCTA5 93461","B01001_001",1349,352,1349,352,"06","93461"
"0693463","ZCTA5 93463","B01001_001",7911,334,7911,334,"06","93463"
"0693465","ZCTA5 93465","B01001_001",9202,699,9202,699,"06","93465"
"0693501","ZCTA5 93501","B01001_001",4802,568,4802,568,"06","93501"
"0693505","ZCTA5 93505","B01001_001",13774,79,13774,79,"06","93505"
"0693510","ZCTA5 93510","B01001_001",7644,626,7644,626,"06","93510"
"0693512","ZCTA5 93512","B01001_001",328,147,328,147,"06","93512"
"0693513","ZCTA5 93513","B01001_001",1621,188,1621,188,"06","93513"
"0693514","ZCTA5 93514","B01001_001",14175,621,14175,621,"06","93514"
"0693516","ZCTA5 93516","B01001_001",2244,259,2244,259,"06","93516"
"0693517","ZCTA5 93517","B01001_001",641,316,641,316,"06","93517"
"0693518","ZCTA5 93518","B01001_001",814,172,814,172,"06","93518"
"0693519","ZCTA5 93519","B01001_001",0,12,0,12,"06","93519"
"0693522","ZCTA5 93522","B01001_001",100,50,100,50,"06","93522"
"0693523","ZCTA5 93523","B01001_001",3556,346,3556,346,"06","93523"
"0693524","ZCTA5 93524","B01001_001",165,80,165,80,"06","93524"
"0693526","ZCTA5 93526","B01001_001",629,105,629,105,"06","93526"
"0693527","ZCTA5 93527","B01001_001",1559,531,1559,531,"06","93527"
"0693528","ZCTA5 93528","B01001_001",119,139,119,139,"06","93528"
"0693529","ZCTA5 93529","B01001_001",390,192,390,192,"06","93529"
"0693530","ZCTA5 93530","B01001_001",10,9,10,9,"06","93530"
"0693531","ZCTA5 93531","B01001_001",338,185,338,185,"06","93531"
"0693532","ZCTA5 93532","B01001_001",2683,425,2683,425,"06","93532"
"0693534","ZCTA5 93534","B01001_001",39367,1411,39367,1411,"06","93534"
"0693535","ZCTA5 93535","B01001_001",74264,1505,74264,1505,"06","93535"
"0693536","ZCTA5 93536","B01001_001",70237,1329,70237,1329,"06","93536"
"0693541","ZCTA5 93541","B01001_001",244,150,244,150,"06","93541"
"0693543","ZCTA5 93543","B01001_001",14392,1081,14392,1081,"06","93543"
"0693544","ZCTA5 93544","B01001_001",1164,394,1164,394,"06","93544"
"0693545","ZCTA5 93545","B01001_001",1821,379,1821,379,"06","93545"
"0693546","ZCTA5 93546","B01001_001",9591,369,9591,369,"06","93546"
"0693549","ZCTA5 93549","B01001_001",293,144,293,144,"06","93549"
"0693550","ZCTA5 93550","B01001_001",77506,1281,77506,1281,"06","93550"
"0693551","ZCTA5 93551","B01001_001",50601,1240,50601,1240,"06","93551"
"0693552","ZCTA5 93552","B01001_001",39905,1213,39905,1213,"06","93552"
"0693553","ZCTA5 93553","B01001_001",1709,390,1709,390,"06","93553"
"0693554","ZCTA5 93554","B01001_001",125,101,125,101,"06","93554"
"0693555","ZCTA5 93555","B01001_001",33833,955,33833,955,"06","93555"
"0693558","ZCTA5 93558","B01001_001",26,31,26,31,"06","93558"
"0693560","ZCTA5 93560","B01001_001",21756,1172,21756,1172,"06","93560"
"0693561","ZCTA5 93561","B01001_001",34979,1513,34979,1513,"06","93561"
"0693562","ZCTA5 93562","B01001_001",1771,212,1771,212,"06","93562"
"0693563","ZCTA5 93563","B01001_001",357,122,357,122,"06","93563"
"0693591","ZCTA5 93591","B01001_001",6744,779,6744,779,"06","93591"
"0693592","ZCTA5 93592","B01001_001",115,67,115,67,"06","93592"
"0693601","ZCTA5 93601","B01001_001",1674,570,1674,570,"06","93601"
"0693602","ZCTA5 93602","B01001_001",3530,489,3530,489,"06","93602"
"0693603","ZCTA5 93603","B01001_001",175,112,175,112,"06","93603"
"0693604","ZCTA5 93604","B01001_001",541,229,541,229,"06","93604"
"0693605","ZCTA5 93605","B01001_001",198,88,198,88,"06","93605"
"0693606","ZCTA5 93606","B01001_001",1035,311,1035,311,"06","93606"
"0693608","ZCTA5 93608","B01001_001",1280,456,1280,456,"06","93608"
"0693609","ZCTA5 93609","B01001_001",5177,553,5177,553,"06","93609"
"0693610","ZCTA5 93610","B01001_001",22724,514,22724,514,"06","93610"
"0693611","ZCTA5 93611","B01001_001",49053,1167,49053,1167,"06","93611"
"0693612","ZCTA5 93612","B01001_001",35140,1112,35140,1112,"06","93612"
"0693614","ZCTA5 93614","B01001_001",11982,837,11982,837,"06","93614"
"0693615","ZCTA5 93615","B01001_001",6347,825,6347,825,"06","93615"
"0693616","ZCTA5 93616","B01001_001",2582,413,2582,413,"06","93616"
"0693618","ZCTA5 93618","B01001_001",31470,1116,31470,1116,"06","93618"
"0693619","ZCTA5 93619","B01001_001",39473,1584,39473,1584,"06","93619"
"0693620","ZCTA5 93620","B01001_001",8906,655,8906,655,"06","93620"
"0693621","ZCTA5 93621","B01001_001",136,149,136,149,"06","93621"
"0693622","ZCTA5 93622","B01001_001",10335,485,10335,485,"06","93622"
"0693623","ZCTA5 93623","B01001_001",114,36,114,36,"06","93623"
"0693624","ZCTA5 93624","B01001_001",871,189,871,189,"06","93624"
"0693625","ZCTA5 93625","B01001_001",8059,461,8059,461,"06","93625"
"0693626","ZCTA5 93626","B01001_001",2427,483,2427,483,"06","93626"
"0693627","ZCTA5 93627","B01001_001",247,257,247,257,"06","93627"
"0693628","ZCTA5 93628","B01001_001",83,65,83,65,"06","93628"
"0693630","ZCTA5 93630","B01001_001",20764,1111,20764,1111,"06","93630"
"0693631","ZCTA5 93631","B01001_001",16282,877,16282,877,"06","93631"
"0693633","ZCTA5 93633","B01001_001",0,12,0,12,"06","93633"
"0693634","ZCTA5 93634","B01001_001",22,16,22,16,"06","93634"
"0693635","ZCTA5 93635","B01001_001",41180,693,41180,693,"06","93635"
"0693636","ZCTA5 93636","B01001_001",13255,833,13255,833,"06","93636"
"0693637","ZCTA5 93637","B01001_001",41108,1548,41108,1548,"06","93637"
"0693638","ZCTA5 93638","B01001_001",49932,1540,49932,1540,"06","93638"
"0693640","ZCTA5 93640","B01001_001",12920,371,12920,371,"06","93640"
"0693641","ZCTA5 93641","B01001_001",223,111,223,111,"06","93641"
"0693643","ZCTA5 93643","B01001_001",2783,454,2783,454,"06","93643"
"0693644","ZCTA5 93644","B01001_001",9055,860,9055,860,"06","93644"
"0693645","ZCTA5 93645","B01001_001",148,198,148,198,"06","93645"
"0693646","ZCTA5 93646","B01001_001",11738,446,11738,446,"06","93646"
"0693647","ZCTA5 93647","B01001_001",11407,1064,11407,1064,"06","93647"
"0693648","ZCTA5 93648","B01001_001",16087,301,16087,301,"06","93648"
"0693650","ZCTA5 93650","B01001_001",3173,552,3173,552,"06","93650"
"0693651","ZCTA5 93651","B01001_001",1798,403,1798,403,"06","93651"
"0693652","ZCTA5 93652","B01001_001",540,192,540,192,"06","93652"
"0693653","ZCTA5 93653","B01001_001",1377,315,1377,315,"06","93653"
"0693654","ZCTA5 93654","B01001_001",30373,936,30373,936,"06","93654"
"0693656","ZCTA5 93656","B01001_001",5806,509,5806,509,"06","93656"
"0693657","ZCTA5 93657","B01001_001",35666,1154,35666,1154,"06","93657"
"0693660","ZCTA5 93660","B01001_001",4090,65,4090,65,"06","93660"
"0693662","ZCTA5 93662","B01001_001",30725,964,30725,964,"06","93662"
"0693664","ZCTA5 93664","B01001_001",380,87,380,87,"06","93664"
"0693665","ZCTA5 93665","B01001_001",752,388,752,388,"06","93665"
"0693666","ZCTA5 93666","B01001_001",866,274,866,274,"06","93666"
"0693667","ZCTA5 93667","B01001_001",2405,406,2405,406,"06","93667"
"0693668","ZCTA5 93668","B01001_001",1219,359,1219,359,"06","93668"
"0693669","ZCTA5 93669","B01001_001",238,138,238,138,"06","93669"
"0693673","ZCTA5 93673","B01001_001",754,193,754,193,"06","93673"
